A0A059WI14	GO:0003824	0.752
A0A059WI14	GO:0005488	0.49
A0A059WI14	GO:0043167	0.457
A0A059WI14	GO:0046872	0.455
A0A059WI14	GO:0043169	0.455
A0A059WI14	GO:0016491	0.437
A0A059WI14	GO:0046914	0.372
A0A059WI14	GO:0005515	0.137
A0A059WI14	GO:0005506	0.131
A0A059WI14	GO:0008270	0.078
A0A059WI14	GO:0016829	0.069
A0A059WI14	GO:0016846	0.063
A0A059WI14	GO:0042802	0.052
A0A059WI14	GO:0016853	0.048
A0A059WI14	GO:0005507	0.043
A0A059WI14	GO:0051213	0.03
A0A059WI14	GO:0008198	0.03
A0A059WI14	GO:1901363	0.029
A0A059WI14	GO:0048037	0.028
A0A059WI14	GO:0016787	0.027
A0A059WI14	GO:0050896	0.496
A0A059WI14	GO:0009987	0.444
A0A059WI14	GO:0042221	0.324
A0A059WI14	GO:0008152	0.273
A0A059WI14	GO:0010035	0.232
A0A059WI14	GO:0010038	0.226
A0A059WI14	GO:0006950	0.222
A0A059WI14	GO:0044237	0.181
A0A059WI14	GO:0065007	0.164
A0A059WI14	GO:0051716	0.144
A0A059WI14	GO:0046686	0.128
A0A059WI14	GO:0050789	0.124
A0A059WI14	GO:0071704	0.106
A0A059WI14	GO:0033554	0.094
A0A059WI14	GO:0070887	0.093
A0A059WI14	GO:0051704	0.086
A0A059WI14	GO:0006979	0.086
A0A059WI14	GO:0098754	0.074
A0A059WI14	GO:0050794	0.074
A0A059WI14	GO:0065008	0.068
A0A059WI14	GO:0110165	0.84
A0A059WI14	GO:0005622	0.541
A0A059WI14	GO:0005737	0.531
A0A059WI14	GO:0005829	0.475
A0A059WI14	GO:0016020	0.11
A0A059WI14	GO:0071944	0.098
A0A059WI14	GO:0005886	0.079
A0A059WI14	GO:0032991	0.078
A0A059WI14	GO:0005576	0.048
A0A059WI14	GO:0043226	0.046
A0A059WI14	GO:0043229	0.044
A0A059WI14	GO:0009986	0.037
A0A059WI14	GO:0043227	0.036
A0A059WI14	GO:1902494	0.029
A0A059WI14	GO:0043231	0.026
A0A059WI14	GO:0031224	0.02
A0A059WI14	GO:0098552	0.018
A0A059WI14	GO:0030312	0.018
A0A059WI14	GO:0018995	0.016
A0A059WI14	GO:0043657	0.015
A0A0B4K7K9	GO:0005488	0.901
A0A0B4K7K9	GO:0005515	0.837
A0A0B4K7K9	GO:0019904	0.275
A0A0B4K7K9	GO:0008092	0.246
A0A0B4K7K9	GO:0030165	0.239
A0A0B4K7K9	GO:0005198	0.183
A0A0B4K7K9	GO:0044877	0.16
A0A0B4K7K9	GO:0019899	0.097
A0A0B4K7K9	GO:0051020	0.09
A0A0B4K7K9	GO:0015631	0.088
A0A0B4K7K9	GO:0008017	0.088
A0A0B4K7K9	GO:0031267	0.086
A0A0B4K7K9	GO:0017137	0.086
A0A0B4K7K9	GO:0017016	0.086
A0A0B4K7K9	GO:0003779	0.076
A0A0B4K7K9	GO:0042802	0.075
A0A0B4K7K9	GO:0051015	0.065
A0A0B4K7K9	GO:0046983	0.054
A0A0B4K7K9	GO:0042803	0.046
A0A0B4K7K9	GO:0008307	0.042
A0A0B4K7K9	GO:0009987	0.761
A0A0B4K7K9	GO:0032501	0.685
A0A0B4K7K9	GO:0071840	0.673
A0A0B4K7K9	GO:0016043	0.673
A0A0B4K7K9	GO:0065007	0.664
A0A0B4K7K9	GO:0023052	0.641
A0A0B4K7K9	GO:0007154	0.641
A0A0B4K7K9	GO:0050789	0.622
A0A0B4K7K9	GO:0099537	0.615
A0A0B4K7K9	GO:0099536	0.615
A0A0B4K7K9	GO:0098916	0.615
A0A0B4K7K9	GO:0007268	0.615
A0A0B4K7K9	GO:0007267	0.615
A0A0B4K7K9	GO:0050794	0.589
A0A0B4K7K9	GO:0051179	0.56
A0A0B4K7K9	GO:0003008	0.53
A0A0B4K7K9	GO:0051234	0.523
A0A0B4K7K9	GO:0099177	0.518
A0A0B4K7K9	GO:0050804	0.518
A0A0B4K7K9	GO:0023051	0.518
A0A0B4K7K9	GO:0110165	0.992
A0A0B4K7K9	GO:0005622	0.755
